1000000000,1500000000,2000000000,2500000000,3000000000
4.072415,5.896290,7.807878,9.737816,11.714398
3.915879,5.835232,7.814738,9.775483,11.740112
3.904603,5.856868,7.800155,9.758997,11.733300
3.913350,5.869231,7.792816,9.784790,11.703957
3.965380,5.883641,7.789251,9.747416,11.708041
3.894011,5.867470,7.805052,9.717605,11.759604
3.911672,5.868711,7.820703,9.748801,11.670135
3.915629,5.895087,7.768110,9.735000,11.715113
3.905557,5.839635,7.830683,9.761204,11.703208
3.880037,5.850384,7.818070,9.790699,11.693349
3.912494,5.868913,7.784741,9.750496,11.724527
3.901250,5.856837,7.811884,9.740686,11.680941
3.889145,5.876414,7.812896,9.823884,11.733073
3.935709,5.855647,7.822874,9.814058,11.723730
3.959081,5.868330,7.805445,9.743187,11.722078
3.884914,5.858310,7.819965,9.748904,11.824941
3.900403,5.877868,7.788134,9.734000,11.741644
3.897656,5.866895,7.846687,9.782794,11.703310
3.935369,5.855099,7.801463,9.733819,11.690443
3.891524,5.875083,7.858243,9.838670,11.786526
3.901564,5.909526,7.894160,9.781405,11.772806
3.956353,5.844211,7.812785,9.757995,11.767297
3.982797,5.851415,7.871871,9.719033,11.669677
3.904511,5.856825,7.805939,9.753493,11.712445
3.898170,5.838997,7.814419,9.775887,11.743168
3.888237,5.877380,7.813011,9.851738,11.734722
3.890668,5.841030,7.796662,9.753801,11.720774
3.891183,5.842171,7.820780,9.743112,11.732633
3.929703,5.843418,7.807353,9.823588,11.666717
3.888741,5.836814,7.748071,9.757400,11.725939
