0,1000000000,1500000000,2000000000,2500000000,3000000000
16,1.823310,2.774246,3.702568,4.574684,5.511832,
32,1.789222,2.575232,3.411182,4.183343,4.926029,
2,7.952935,11.967888,15.910444,20.103027,24.005492,
4,4.178651,6.299535,9.223949,11.623978,13.351030,
8,2.837762,4.257185,5.683331,7.107171,8.668126,
16,1.821731,2.751895,3.694936,4.637274,5.513036,
32,1.742468,2.558885,3.404790,4.274557,4.986319,
2,7.997570,11.999012,16.019040,19.952998,25.045389,
4,4.202002,6.417064,9.285742,11.277145,13.419072,
8,2.870461,4.306061,5.699931,7.181795,8.573967,
16,1.833151,2.759600,3.691926,4.690182,5.505311,
32,1.742405,2.523166,3.396588,4.189070,5.069189,
2,7.997398,11.979466,15.959229,19.964852,24.008857,
4,4.278607,6.287746,8.895804,11.206517,13.412933,
8,2.880920,4.284594,5.680823,7.096433,8.500902,
16,1.822193,2.754805,3.715577,4.566885,5.495576,
32,1.737684,2.544545,3.313334,4.461142,4.981668,
2,7.999208,11.989908,15.878984,20.059736,23.940267,
4,4.213862,6.264633,8.738160,11.175009,13.525767,
8,2.852309,4.272385,5.671305,7.173291,8.560925,
16,1.830839,2.735978,3.658161,4.648666,5.486314,
32,1.760588,2.590169,3.419622,4.174109,4.977179,
2,7.972022,12.056608,15.941991,20.068142,24.117983,
4,4.169355,6.262502,8.757094,11.300661,13.374856,
8,2.920835,4.293402,5.714784,7.189729,8.532982,
16,1.848707,2.773263,3.636601,4.606078,5.545369,
32,1.721528,2.597665,3.369334,4.151276,4.964484,
2,8.072677,12.127726,16.073598,20.194702,24.204764,
4,4.215041,6.542928,8.778702,11.283505,13.494607,
8,2.869668,4.206661,5.710138,7.174619,8.530165,
16,1.820501,2.762203,3.668219,4.576744,5.496882,
32,1.745365,2.529919,3.385477,4.180755,4.943048,
2,7.977789,12.010404,16.074304,20.072921,24.227556,
4,4.307303,6.325345,8.846900,11.154804,13.379058,
8,2.953351,4.267688,5.742284,7.027537,8.563271,
16,1.846953,2.770709,3.696721,4.592275,5.459358,
32,1.730637,2.670259,3.414014,4.237403,4.994552,
