0,1000,1500,2000,2500,3000,3500,4000
4,1.200297,4.437161,10.678977,25.363401,42.438454,73.149821,101.516023
8,0.686052,2.855928,7.055722,16.364909,26.849840,48.191710,68.523455
12,0.610807,2.250040,6.528396,13.890139,22.092032,36.880224,54.491087
16,0.617133,2.063330,4.849374,10.270069,19.438502,33.878864,45.382525
4,1.079570,4.182476,11.162703,25.160139,42.010689,72.853379,99.771497
8,0.657880,2.938842,7.170229,16.827424,27.079449,47.870006,65.479517
12,0.606160,2.389963,5.999271,13.094322,23.160091,38.164776,52.224764
16,0.509691,1.783310,5.157414,10.998342,19.323611,33.532520,46.418154
4,1.074020,4.198383,10.972470,25.552140,42.288549,74.340671,98.460438
8,0.673491,2.711039,7.241850,16.954367,27.981472,48.186490,65.421758
12,0.566293,2.431176,6.167040,13.488692,22.890258,39.842319,54.450280
16,0.526534,1.852214,4.852904,10.911261,19.609191,34.191788,48.318612
4,1.079837,4.214441,11.193772,26.245479,42.756741,74.860218,99.532251
8,0.771247,2.832014,7.693778,17.151170,27.635124,49.158092,68.659943
12,0.600546,2.335712,6.019292,13.249866,22.492004,39.513070,54.354217
16,0.528305,1.874584,5.203165,11.428798,20.000755,34.752301,48.357394
4,1.062554,4.321411,11.359889,26.427571,43.815456,75.060252,101.627877
8,0.686313,2.778557,7.393911,16.598063,27.593815,48.615399,69.796911
12,0.575086,2.083054,5.492829,13.644805,22.226847,39.002687,55.561704
16,0.530188,2.020566,5.424839,10.974073,19.839330,34.289652,48.033270
4,1.060016,4.272886,11.375158,26.141335,43.276713,74.492669,104.784757
8,0.754682,2.718204,7.266452,16.935566,27.887491,49.278185,70.868871
12,0.555878,2.219123,6.281435,13.021070,22.684678,39.924078,57.263281
16,0.534270,2.038567,5.034374,11.241613,19.789549,34.136481,47.653884
4,1.076026,4.338053,11.512471,26.634422,43.370321,76.548516,104.438052
8,0.688350,2.971744,7.387295,17.417918,27.916213,50.157567,71.823833
12,0.584151,2.195819,5.988013,13.476536,22.391241,39.775452,57.055846
16,0.496788,1.960841,5.330401,11.572368,20.152456,34.810210,49.192333
4,1.066561,4.148620,11.292992,26.517175,43.746162,75.583064,105.646754
8,0.671344,3.002901,7.229067,17.624099,27.955999,49.007155,68.334730
12,0.626233,2.192929,6.016664,13.166409,22.754834,38.940230,55.604022
16,0.592168,2.102303,5.341790,11.639920,20.160529,34.301198,48.417139
4,1.061090,4.321270,11.174602,26.267461,43.407275,75.930040,104.539798
8,0.792450,3.023534,7.717764,17.049259,27.883969,49.670271,72.447595
12,0.542319,2.185999,5.880451,13.281516,22.879596,39.734476,58.373499
16,0.568525,1.944071,5.216462,11.588812,20.376333,35.289132,49.865267
4,1.056221,4.205243,11.155991,26.183200,43.539867,76.213261,105.559286
8,0.663389,2.755573,7.461637,17.076855,28.695134,49.477519,71.067000
12,0.599282,2.171519,5.947217,13.456853,22.656198,38.408851,58.264495
16,0.567504,1.929551,5.270761,11.159739,20.678958,35.056129,50.010088
4,1.066880,4.213636,11.355351,26.424486,43.670358,76.155652,108.000784
8,0.756583,2.836798,7.917428,18.113768,29.403658,50.466682,71.123875
12,0.582472,2.248069,5.829912,13.092592,23.556390,39.471457,59.817528
16,0.572703,1.993058,5.363373,10.900182,20.796077,35.349222,49.551498
4,1.229093,4.241055,11.294905,26.341013,43.895489,76.749829,108.697022
8,0.690899,2.903626,7.550927,16.946460,28.214236,49.869915,72.176022
12,0.591375,2.237177,6.000500,13.493291,23.019392,38.992650,57.510859
16,0.500218,1.888794,5.199820,11.151967,20.051801,35.092331,51.147689
4,1.124469,4.194921,11.440640,26.453052,44.051730,76.370400,110.719665
8,0.739624,2.948761,7.681084,20.785621,29.282271,50.795232,72.809590
12,0.649460,2.091166,6.173028,14.056299,22.691620,39.217207,56.899477
16,0.509343,2.220220,5.312612,11.260490,19.927829,36.105515,49.972991
4,1.104085,4.148640,11.077227,26.289963,43.887475,76.567307,107.907555
8,0.719424,2.799666,7.052242,17.084499,28.388601,50.334161,72.245411
12,0.549913,2.282597,6.118236,13.437953,22.117905,39.098501,59.817402
16,0.528558,1.867695,4.983997,11.319624,20.933823,35.376214,50.556272
4,1.060005,4.162809,11.328705,26.490401,43.743805,76.960463,109.046185
8,0.763795,3.090513,7.363561,17.484534,28.108255,49.450403,72.878253
12,0.618218,2.083804,5.736696,13.366981,22.448118,39.453094,58.256516
16,0.596870,2.002147,5.377743,11.471670,19.512744,35.436689,50.548460
